"RMSE","NRMSE","R2_test","Bias_test","fuelType","model"
8.01608034573428,262.528962579986,0.211264245255941,0.969332699709184,"Total surface fuels","Random Forest"
1.81505393075407,100.090102169055,0.251923540203083,-0.404896855097436,"Total surface fuels","Random Forest"
5.74989287620375,195.918602724518,0.0151568504235188,0.700891058839506,"Total surface fuels","Random Forest"
4.59712985862096,238.099102915415,-8.37168633362425,-0.993821758522665,"Total surface fuels","Random Forest"
1.84845353546167,87.0260848219714,0.15521392975149,-0.364667952455204,"Total surface fuels","Random Forest"
5.23571928995789,187.436765875058,0.265960252397347,0.319899458528288,"Total surface fuels","Random Forest"
2.51586927387468,154.765433862451,-2.97995595262005,-1.3373148977372,"Total surface fuels","Random Forest"
7.76886138528481,216.805722121865,0.181854696359931,1.51548159960019,"Total surface fuels","Random Forest"
1.69140879903173,105.525531070771,-0.201221503564339,-0.484012987025395,"Total surface fuels","Random Forest"
1.83393360282201,84.3038403316638,0.245533607347535,0.234625817872,"Total surface fuels","Random Forest"
1.83152709919099,113.408421089443,-0.880823928325928,-0.545543957094444,"Total surface fuels","Random Forest"
5.59904378668931,194.153574249434,0.0925042316571035,1.01657068341026,"Total surface fuels","Random Forest"
2.74745556622778,178.836771652836,-4.40690296129347,-1.22875348055674,"Total surface fuels","Random Forest"
1.74519648906943,73.7078915188212,0.297444296560621,0.186672096814542,"Total surface fuels","Random Forest"
7.7753675018205,230.144359001821,0.2219868489141,1.02432445514261,"Total surface fuels","Random Forest"
8.19203525285762,230.23205871354,0.0999280672580845,1.13750883454855,"Total surface fuels","Random Forest"
6.00198917543338,177.183346027069,0.0351553558370894,1.62930335370667,"Total surface fuels","Random Forest"
1.58605214428915,133.567860841241,-3.56276754412355,-1.02619873165348,"Total surface fuels","Random Forest"
2.4899859336984,115.799680276066,-0.269903122205825,-0.356593528277255,"Total surface fuels","Random Forest"
4.48485921473709,313.019217452314,-13.6183192392446,-1.35572564349867,"Total surface fuels","Random Forest"
6.99376512645378,442.107013874167,-17.840234808574,-2.75219684938133,"Total surface fuels","Random Forest"
8.285860667216,233.310898148366,0.1221242348208,1.33596807314603,"Total surface fuels","Random Forest"
1.89207945254935,87.4050635779763,0.117103777419582,0.122443203100012,"Total surface fuels","Random Forest"
4.87323916027396,240.015749523438,-4.93169732676676,-0.558591126256409,"Total surface fuels","Random Forest"
5.16167758502878,207.561915410516,0.169259749188053,0.377361779761904,"Total surface fuels","Random Forest"
1.59904115329457,86.2174820880686,0.13169210319169,-0.29006046951912,"Total surface fuels","Random Forest"
1.77326675088873,99.1478150504822,-0.679477797053323,-0.396167922369714,"Total surface fuels","Random Forest"
5.87040490747659,173.564954239861,0.0660722175594501,1.47986678387654,"Total surface fuels","Random Forest"
8.13745857155892,252.800290947979,0.157149126787618,0.404302064856542,"Total surface fuels","Random Forest"
1.34262526981674,88.8178419432529,-3.32472113149334,-0.229472730322221,"Total surface fuels","Random Forest"
1.76401176254651,98.4152796876203,-0.169152594468009,-0.433032389577979,"Total surface fuels","Random Forest"
6.85962554982758,174.35552748248,0.46982121530301,0.271519750260863,"Total surface fuels","Random Forest"
4.77498270111586,170.133042383502,0.313643575691861,0.698868089313227,"Total surface fuels","Random Forest"
1.26016110986794,75.775135239396,-0.235686984119897,-0.0613470889121731,"Total surface fuels","Random Forest"
3.01276976918177,163.324589873704,-0.944500681427559,-1.29543098655292,"Total surface fuels","Random Forest"
2.92209208103415,154.014674523495,-3.57335213343104,-0.996815624607307,"Total surface fuels","Random Forest"
8.29980004106333,239.006975266885,0.188413275037262,1.23714127699097,"Total surface fuels","Random Forest"
2.74465784343413,119.974902380599,-0.18593272948848,0.254765528113581,"Total surface fuels","Random Forest"
1.38301876919145,81.8693405073965,-0.0804521416001325,-0.537773960962294,"Total surface fuels","Random Forest"
5.53171560102597,212.663990338656,0.116099660445365,0.899338636666668,"Total surface fuels","Random Forest"
2.03948188212113,132.711375871701,-5.51934955458498,-0.605971286143592,"Total surface fuels","Random Forest"
1.58119183503655,76.0800624151507,0.466964669097995,0.129843435817714,"Total surface fuels","Random Forest"
4.62785675485771,301.991475735879,-10.4992450977874,-1.03367687966666,"Total surface fuels","Random Forest"
5.78282092677682,200.164978020635,0.0922132539621349,0.394251047805555,"Total surface fuels","Random Forest"
8.01060663662363,206.374322098131,0.195688274346285,1.64652383534512,"Total surface fuels","Random Forest"
5.512295397154,189.591704815275,0.102422245037,0.775667848307692,"Total surface fuels","Random Forest"
8.19924069912818,200.777932244596,0.198734994954725,1.60237718743562,"Total surface fuels","Random Forest"
1.94024618070473,128.791579845476,-1.7081179532423,-0.886890672896382,"Total surface fuels","Random Forest"
3.30547509645711,173.908694148832,-2.31846440926016,-0.820362326742855,"Total surface fuels","Random Forest"
1.0039138891939,67.8222433609049,-0.186256659778272,-0.178260325788889,"Total surface fuels","Random Forest"
0.0383103567032187,85.5906092565207,0.573624511984155,0.00813414111999997,"Herbaceous fuels","Random Forest"
0.043213365184091,128.681910251325,0.0672176505161437,-0.0200739791794872,"Herbaceous fuels","Random Forest"
0.0370184816502475,122.770476656597,0.420269604013719,-0.0036423707160494,"Herbaceous fuels","Random Forest"
0.0341069292544562,141.790812718073,0.398618554340703,-0.00367237024000002,"Herbaceous fuels","Random Forest"
0.034535936809314,99.9951844057318,0.164566145096597,0.00900326562666667,"Herbaceous fuels","Random Forest"
0.0389327216015424,107.901671952171,0.470793182480576,0.00240847977777776,"Herbaceous fuels","Random Forest"
0.0268374462958821,104.827474865233,0.559903930969309,-0.0111162777435898,"Herbaceous fuels","Random Forest"
0.0430728273952682,135.931559337666,0.124590266331927,0.00379094723809524,"Herbaceous fuels","Random Forest"
0.0378408893221611,95.0890793918891,0.393095683488906,0.00584716372000002,"Herbaceous fuels","Random Forest"
0.0315745979121565,92.0735487103897,0.579072815028079,-0.00204710013333335,"Herbaceous fuels","Random Forest"
0.0443540904684401,103.225066060525,0.523797410842562,0.00947710508333331,"Herbaceous fuels","Random Forest"
0.03092656250391,119.613623869698,0.368495326521271,-0.000741575564102562,"Herbaceous fuels","Random Forest"
0.0342034666771949,83.863648963322,0.481387675794812,-0.0116147269230769,"Herbaceous fuels","Random Forest"
0.0248766760618868,126.344242960176,0.331013457050273,-0.00819553759999999,"Herbaceous fuels","Random Forest"
0.0422426870257576,112.378566753582,0.211915016905576,0.00837014790123456,"Herbaceous fuels","Random Forest"
0.035735895363179,120.434017525317,0.364850046157151,0.0038870085925926,"Herbaceous fuels","Random Forest"
0.0252940481711974,170.298180620471,-0.0843409366468721,-0.0134615727466667,"Herbaceous fuels","Random Forest"
0.0392662999760527,83.7156933119404,0.43049103615905,0.0122844373043478,"Herbaceous fuels","Random Forest"
0.0442287288188412,91.4383477751524,0.496532419601879,0.00766545434353742,"Herbaceous fuels","Random Forest"
0.0235817710378315,88.5999813564453,0.551752844354919,-0.00639687634666671,"Herbaceous fuels","Random Forest"
0.043210601754598,120.008114542409,0.184703799587434,0.00558575389333333,"Herbaceous fuels","Random Forest"
0.0382276020876269,143.356264679845,0.202767326885828,-0.0141356582820513,"Herbaceous fuels","Random Forest"
0.0318460254392893,86.7430820823845,0.611692889461904,0.00341547234782607,"Herbaceous fuels","Random Forest"
0.0311271401082088,88.7201976335703,0.608220023821362,-0.00720182438461537,"Herbaceous fuels","Random Forest"
0.040443017131728,122.959138256644,0.246032209775938,0.00838604395238095,"Herbaceous fuels","Random Forest"
